aladdin_id,permid,issuer_name,exclusion_list,ovr_list,affected_portfolio_str,affected_benchmark_str
222088,5000048673,UniCredit Bank AG,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}",[],[]
808901,4295860592,Bank of Nova Scotia,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec']",[]
R61465,4295862902,Toronto-Dominion Bank,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'str_sfdr8_aec', 'scs_001_sec', 'scs_002_ec']",,"['LXMS0580', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
06738C,4296470941,Barclays Bank PLC,"['str_001_s', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_001_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'scs_001_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec']",[]
R23802,4298009174,Glencore Funding LLC,['scs_002_ec'],"{'str_001_s': 'EXCLUDED', 'str_003_ec': 'EXCLUDED', 'str_006_sec': 'EXCLUDED', 'cs_003_sec': 'OK'}","['CPE05152', 'str_003b_ec']",[]
83365G,5000039357,Societe Generale SA,"['str_001_s', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE03002', 'str_003b_ec', 'CPE03002', 'str_003b_ec', 'CPE05152', 'str_003b_ec', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG00233', 'str_sfdr8_aec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'FPG01212', 'str_sfdr8_aec', 'FPG01212', 'str_sfdr8_aec', 'FPG01758', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0647', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
059456,4295889577,Banco Bilbao Vizcaya Argentaria SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE00035', 'str_003b_ec', 'CPE00264', 'str_003b_ec', 'CPE00363', 'str_003b_ec', 'CPE03002', 'str_003b_ec', 'CPE03744', 'scs_001_sec', 'CPE03867', 'str_003b_ec', 'CPE03867', 'str_003b_ec', 'CPE04037', 'str_003b_ec', 'CPE04041', 'str_003b_ec', 'CPE04044', 'str_003b_ec', 'CPE04071', 'str_003b_ec', 'CPE04080', 'str_003b_ec', 'CPE04080', 'str_003b_ec', 'CPE04081', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05189', 'str_003b_ec', 'CPE05190', 'str_003b_ec', 'CPE05191', 'str_003b_ec', 'CPE05211', 'str_003b_ec', 'CPE05234', 'str_003b_ec', 'CPE05248', 'str_003b_ec', 'CPE05317', 'str_003b_ec', 'CPE05337', 'str_003b_ec', 'CPE05361', 'str_003b_ec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH00058', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FPG00776', 'str_sfdr8_aec', 'FPG01079', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0730', 'str_sfdr8_aec', 'LXMS0770', 'str_sfdr8_aec', 'LXMS0770', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
89116Q,5000041485,Toronto Dominion Holdings (USA) Inc,"['str_001_s', 'str_003_ec', 'str_004_asec', 'str_006_sec', 'str_sfdr8_aec', 'scs_001_sec']","{'str_001_s': 'FLAG', 'str_003_ec': 'FLAG', 'str_004_asec': 'FLAG', 'str_005_ec': 'EXCLUDED', 'str_006_sec': 'FLAG', 'str_sfdr8_aec': 'FLAG', 'scs_001_sec': 'FLAG', 'cs_003_sec': 'OK', 'scs_002_ec': 'FLAG'}",[],[]
128005,8589934312,Credit Agricole SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE00035', 'str_003b_ec', 'CPE03861', 'str_002_ec', 'CPE03867', 'str_003b_ec', 'CPE04041', 'str_003b_ec', 'CPE04044', 'str_003b_ec', 'CPE04081', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05189', 'str_003b_ec', 'CPE05190', 'str_003b_ec', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0770', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
H17641,5046297205,DH Europe Finance SARL,"['str_005_ec', 'str_006_sec']",,[],[]
