aladdin_id,permid,issuer_name,exclusion_list_brs,ovr_list,affected_portfolio_str,affected_benchmark_str
E97445,5000757618,ABN Amro Bank NV,['str_004_asec'],,"['FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0730', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
R57925,4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,['str_005_ec'],{'str_005_ec': 'OK'},"['CPE00264', 'str_003b_ec', 'EPV00043', 'str_001_s', 'EPV00060', 'str_001_s', 'FIG02787', 'str_002_ec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FIH00529', 'str_005_ec', 'FPG00004', 'str_sfdr8_aec', 'FPG00005', 'str_sfdr8_aec', 'FPG00010', 'str_sfdr8_aec', 'FPG00018', 'str_sfdr8_aec', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00112', 'str_001_s', 'FPG00376', 'str_sfdr8_aec', 'FPG00603', 'str_001_s', 'FPG01119', 'str_sfdr8_aec', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'FPG01278', 'str_003_ec', 'FPG15900', 'str_sfdr8_aec', 'FPG20002', 'str_sfdr8_aec', 'FPH00706', 'str_sfdr8_aec', 'LXMS0240', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec']",[]
R63005,4295884955,Airbus SE,"['str_001_s', 'str_004_asec']","{'str_001_s': 'OK', 'str_004_asec': 'OK', 'cs_003_sec': nan}","['ADM0PSA1', 'scs_002_ec', 'ADM0PSA1', 'scs_002_ec', 'ADM0PSA2', 'scs_002_ec', 'EPH00107', 'str_004_asec', 'EPV00043', 'str_001_s', 'EPV00060', 'str_001_s', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00112', 'str_001_s', 'FPG00603', 'str_001_s', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'FPH00457', 'str_004_asec', 'LXMS0240', 'str_sfdr8_aec', 'PFIT0516', 'str_sfdr8_aec']",[]
B95488,5051775617,Anheuser-Busch Inbev SA (Pre-Reincorporation),['str_005_ec'],{'str_005_ec': 'OK'},"['ADM0PSA1', 'scs_002_ec', 'EPV00043', 'str_001_s', 'EPV00060', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG02164', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FIH00529', 'str_005_ec', 'FPB01158', 'str_004_asec', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00112', 'str_001_s', 'FPG00603', 'str_001_s', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'LXMS0040', 'str_sfdr8_aec', 'LXMS0240', 'str_sfdr8_aec', 'PFIT0516', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
007699,8589934205,Banco Santander SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_005_ec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_005_ec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['ADM0PSA1', 'scs_002_ec', 'ADM0PSA2', 'scs_002_ec', 'CPE00277', 'str_003b_ec', 'CPE03744', 'scs_001_sec', 'CPE03853', 'str_003b_ec', 'CPE03853', 'str_003b_ec', 'CPE03912', 'str_003b_ec', 'CPE04037', 'str_003b_ec', 'CPE04039', 'str_003b_ec', 'CPE04041', 'str_003b_ec', 'CPE04044', 'str_003b_ec', 'CPE04053', 'str_003b_ec', 'CPE04059', 'str_003b_ec', 'CPE04070', 'str_003b_ec', 'CPE04071', 'str_003b_ec', 'CPE04080', 'str_003b_ec', 'CPE04081', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05150', 'str_003b_ec', 'CPE05162', 'str_003b_ec', 'CPE05162', 'str_003b_ec', 'CPE05162', 'str_003b_ec', 'CPE05180', 'str_003b_ec', 'CPE05180', 'str_003b_ec', 'CPE05192', 'str_003b_ec', 'EPV00043', 'str_001_s', 'EPV00060', 'str_001_s', 'EPV14005', 'str_001_s', 'FIF00154', 'str_sfdr8_aec', 'FIF04284', 'str_sfdr8_aec', 'FIF04285', 'str_sfdr8_aec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02410', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04251', 'str_sfdr8_aec', 'FIG04251', 'str_sfdr8_aec', 'FIG04253', 'str_sfdr8_aec', 'FIG04253', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05415', 'str_sfdr8_aec', 'FIG05428', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH00058', 'str_sfdr8_aec', 'FIH00058', 'str_sfdr8_aec', 'FIH00058', 'str_sfdr8_aec', 'FIH00208', 'str_sfdr8_aec', 'FIH00529', 'str_005_ec', 'FIH00529', 'str_005_ec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00441', 'str_sfdr8_aec', 'FIN00637', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPB01158', 'str_004_asec', 'FPG00002', 'str_001_s', 'FPG00004', 'str_sfdr8_aec', 'FPG00005', 'str_sfdr8_aec', 'FPG00010', 'str_sfdr8_aec', 'FPG00015', 'str_sfdr8_aec', 'FPG00018', 'str_sfdr8_aec', 'FPG00027', 'str_001_s', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00112', 'str_001_s', 'FPG00376', 'str_sfdr8_aec', 'FPG00603', 'str_001_s', 'FPG00603', 'str_001_s', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'FPG01079', 'str_001_s', 'FPG01079', 'str_001_s', 'FPG01079', 'str_001_s', 'FPG01119', 'str_sfdr8_aec', 'FPG01213', 'str_001_s', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'FPG01214', 'str_001_s', 'FPG01278', 'str_003_ec', 'FPG01421', 'str_sfdr8_aec', 'FPG15900', 'str_sfdr8_aec', 'FPG20002', 'str_sfdr8_aec', 'FPH00254', 'str_sfdr8_aec', 'FPH00457', 'str_004_asec', 'FPH00706', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0240', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0516', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
R49305,4295867483,AXA SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE03744', 'scs_001_sec', 'CPE04070', 'str_003b_ec', 'EPV00043', 'str_001_s', 'EPV00060', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02164', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPG00004', 'str_sfdr8_aec', 'FPG00005', 'str_sfdr8_aec', 'FPG00010', 'str_sfdr8_aec', 'FPG00018', 'str_sfdr8_aec', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00112', 'str_001_s', 'FPG00376', 'str_sfdr8_aec', 'FPG00603', 'str_001_s', 'FPG01119', 'str_sfdr8_aec', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'FPG01278', 'str_003_ec', 'FPG15900', 'str_sfdr8_aec', 'FPG20002', 'str_sfdr8_aec', 'FPH00706', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0040', 'str_sfdr8_aec', 'LXMS0240', 'str_sfdr8_aec', 'PFI01549', 'str_sfdr8_aec', 'PFIT0516', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
059456,4295889577,Banco Bilbao Vizcaya Argentaria SA,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE00035', 'str_003b_ec', 'CPE00264', 'str_003b_ec', 'CPE00363', 'str_003b_ec', 'CPE03002', 'str_003b_ec', 'CPE03744', 'scs_001_sec', 'CPE03867', 'str_003b_ec', 'CPE03867', 'str_003b_ec', 'CPE04037', 'str_003b_ec', 'CPE04041', 'str_003b_ec', 'CPE04044', 'str_003b_ec', 'CPE04071', 'str_003b_ec', 'CPE04080', 'str_003b_ec', 'CPE04080', 'str_003b_ec', 'CPE04081', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05189', 'str_003b_ec', 'CPE05190', 'str_003b_ec', 'CPE05191', 'str_003b_ec', 'CPE05211', 'str_003b_ec', 'CPE05234', 'str_003b_ec', 'CPE05248', 'str_003b_ec', 'CPE05317', 'str_003b_ec', 'CPE05337', 'str_003b_ec', 'CPE05361', 'str_003b_ec', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG04868', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05402', 'str_004_asec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIG05698', 'str_sfdr8_aec', 'FIH00058', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FPG00776', 'str_sfdr8_aec', 'FPG01079', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'LXMS0730', 'str_sfdr8_aec', 'LXMS0770', 'str_sfdr8_aec', 'LXMS0770', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
066050,8589934339,Bank of America Corp,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['CPE00035', 'str_003b_ec', 'CPE03861', 'str_002_ec', 'CPE03867', 'str_003b_ec', 'CPE03912', 'str_003b_ec', 'CPE04041', 'str_003b_ec', 'CPE04044', 'str_003b_ec', 'CPE04053', 'str_003b_ec', 'CPE05137', 'str_003b_ec', 'CPE05190', 'str_003b_ec', 'EPH00107', 'str_004_asec', 'EPV14004', 'str_001_s', 'EPV14005', 'str_001_s', 'EPV14005', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG02787', 'str_002_ec', 'FIG02787', 'str_002_ec', 'FIG04868', 'str_sfdr8_aec', 'FIG05402', 'str_004_asec', 'FIG05774', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIH01197', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FIN00315', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPG01072', 'str_001_s', 'FPG01072', 'str_001_s', 'FPG01697', 'str_001_s', 'FPH00457', 'str_004_asec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0720', 'str_001_s', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00365', 'str_sfdr8_aec']",[]
808901,4295860592,Bank of Nova Scotia,"['str_001_s', 'str_002_ec', 'str_003_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_002_ec': 'OK', 'str_003_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05402', 'str_004_asec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec']",[]
B02433,8589934333,Barclays PLC,"['str_001_s', 'str_003_ec', 'str_003b_ec', 'str_004_asec', 'str_006_sec', 'scs_002_ec']","{'str_001_s': 'OK', 'str_003_ec': 'OK', 'str_003b_ec': 'OK', 'str_004_asec': 'OK', 'str_006_sec': 'OK', 'cs_003_sec': 'OK', 'scs_002_ec': 'OK'}","['EPV00060', 'str_001_s', 'FIG00677', 'str_004_asec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG01998', 'str_sfdr8_aec', 'FIG05240', 'str_004_asec', 'FIG05241', 'str_004_asec', 'FIG05273', 'str_004_asec', 'FIG05428', 'str_sfdr8_aec', 'FPB01158', 'str_004_asec', 'FPG00027', 'str_001_s', 'FPG00028', 'str_001_s', 'FPG00603', 'str_001_s', 'FPG01213', 'str_001_s', 'FPG01214', 'str_001_s', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0020', 'str_sfdr8_aec', 'LXMS0360', 'str_sfdr8_aec', 'LXMS0580', 'str_sfdr8_aec', 'PFIT0011', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFIT0605', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00001', 'str_sfdr8_aec', 'PFS00002', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec', 'PFS00059', 'str_sfdr8_aec']",[]
