aladdin_id,permid,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,scs_001_sec,scs_002_ec,str_006_sec,str_sfdr8_aec,str_003b_ec
D73574,4295857675,Excelsior Capital Ltd,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
D70698,4295858270,Poseidon Nickel Ltd,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4295858807,Silver Lake Deflector Pty Ltd,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
F80754,4295859680,Azevedo & Travassos SA,OK,OK,OK,EXCLUDED,OK,OK,OK,OK,OK,OK
F85102,4295860216,Dimed SA Distribuidora de Medicamentos,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
F62970,4295860237,Recrusul SA,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
F16422,4295860488,American Bonanza Gold Corp,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
F58193,4295863150,Arizona Gold Corp,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4295870107,Vodafone Deutschland GmbH,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4295870395,X Benrubi SA,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
R74937,4295875011,Drs Rada Technologies Ltd,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,OK,EXCLUDED
H44032,4295884278,Nacional Financiera SNC Institucion de Banca de Desarrollo,OK,OK,OK,EXCLUDED,OK,EXCLUDED,EXCLUDED,EXCLUDED,OK,OK
,4295895120,Easynet Group PLC,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
,4295895529,Gates Worldwide Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
R50788,4295903841,Leonardo DRS Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
R51314,4295906361,Engineered Support Systems Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
R54154,4295914255,Multi Soft II Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4295919585,Murgor Resources Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4295941797,International Taurus Resources Inc,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
F99122,4296065995,O3 Mining Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296066132,NioGold Mining Corp,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296098440,Maximus Ventures Ltd,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4296126616,Black & Decker Holdings LLC,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296185033,Auriga International SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296238825,BrightSource Energy Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296255672,TOWERLANDS PROPERTIES INC,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4296294799,Belje dd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
I18016,4296338736,Bharti Enterprises Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296488044,Pharmaceutics International Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296540278,3I Holdings PLC,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
R30335,4296669910,Morgan Stanley BV,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296939218,Pik Vinkovci dd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
D14350,4297078000,AXA France Vie SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4297200707,Essity Treasury AB,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4297285340,Alexandria Minerals Corp,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
I18054,4297808959,Bharti AXA Life Insurance Company Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4298030490,Abu Dhabi Securities Brokerage Egypt SAE,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4298121303,Asmodee Group SASU,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4298189104,Onward Corporate Design Co Ltd,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
M20337,4298248848,Bilkom Bilisim Hizmetleri AS,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
